buyer_id,room_id
450afdfda068aa0,664
d63d13cf5c8f252,228
d39fb998724eb94,99
30e5567877c6263,50
7ba7ac85ee8ba1c,46
f401cfddff767f7,39
42c7d838c91dd9e,35
95c37810b5309ce,33
fea7a8dbfcd51e5,32
d7a1278f09be5e8,32
5fb3d17954838b2,26
fe42721de77106c,23
a50e56668bc91c8,20
dca1971e3be2f7c,18
c588767a9a0782c,16
f17a4ac8b7f0d6c,15
e3694f57063826a,14
72d441ca0c574f5,14
46f4708d23666fd,13
f3581f8b7ec8481,12
3a18c414b784056,12
f575399b53a20a0,12
22218b895be665b,11
28b562ecacd0089,11
ffbe7a01a899180,11
6a0bdbc99dd62f5,10
dc2abf87bc904b0,10
b0c1e266a80cce0,10
b20688098ef5a78,9
b5afb808886996f,9
99327630ced45c6,9
90ad395b9b1ed7b,8
132e50f118c9553,8
a5e49f5e6d8cdd1,8
12de6eca4a6734f,8
ace49af8efbdb51,7
8af8c85bb1e8488,7
06e03558820317c,7
0c3641ae23fe303,7
f1a528ab8ab54ca,6
86a5ffefa180731,6
b3ad9def5c3c59a,6
447278ea4922c10,6
645a79bf346a08d,6
5ce591d4a25b762,6
bfefc608cf0620e,6
d6f12e62319b6de,5
228fe83dd07ab82,5
b74d02990e885b0,5
19cf8651de14712,5
