building_func,eff
Transporto,33.110740770378406
Maitinimo,25.21785411174834
Gyvenamasis (individualus pastatas),15.905181279775915
Gydymo,14.78352631373859
Religinės,14.659288161574136
Kita,14.629483071452304
Administracinė,14.029820935444805
Kultūros,13.566916995937916
Gamybos,12.710442274541963
Gyvenamasis (trijų ir daugiau butų - daugiaaukštis pastatas),12.1409343112109
Prekybos,12.11917480023807
Sporto,11.860695170232077
Komercinės paskirties,9.288434740314349
Mokslo,8.925547736355483
Viešbučių,7.95501441722724
Sandėliavimo,7.696253740975264
